country;year;hourly_compensation;working_hours
Finland;1980;8.61;35.56346
France;1980;8.90;35.42308
Italy;1980;8.09;35.74635
Norway;1980;11.80;30.37885
Spain;1980;5.86;36.77692
Sweden;1980;12.40;29.16923
Switzerland;1980;10.96;34.70385
United Kingdom;1980;7.52;34.08654
Finland;1981;8.33;35.66923
France;1981;7.98;34.76923
Italy;1981;7.52;35.86731
Norway;1981;11.21;30.19615
Spain;1981;5.52;36.12115
Sweden;1981;11.70;29.00769
Switzerland;1981;10.01;34.33462
United Kingdom;1981;7.27;32.98846
Finland;1982;8.26;35.39039
France;1982;7.74;33.94231
Italy;1982;7.38;36.08692
Norway;1982;11.03;29.97885
Spain;1982;5.26;35.71731
Sweden;1982;9.99;29.27885
Switzerland;1982;10.31;34.12308
United Kingdom;1982;6.87;33.27500
Belgium;1983;8.53;34.00000
Finland;1983;7.71;35.05192
France;1983;7.66;33.80769
Ireland;1983;6.00;38.09615
Italy;1983;7.64;36.07289
Luxembourg;1983;7.77;34.21154
Norway;1983;10.45;29.86923
Spain;1983;4.54;35.10385
Sweden;1983;8.82;29.45769
Switzerland;1983;10.33;33.84231
United Kingdom;1983;6.45;33.01154
Belgium;1984;7.98;34.48077
Finland;1984;7.92;34.87885
France;1984;7.25;33.57692
Ireland;1984;5.90;37.76923
Italy;1984;7.30;35.87327
Luxembourg;1984;7.40;33.92308
Norway;1984;10.17;29.77308
Spain;1984;4.45;34.24231
Sweden;1984;9.10;29.50000
Switzerland;1984;9.52;33.47885
United Kingdom;1984;5.99;33.31923
Belgium;1985;8.21;34.59615
Finland;1985;8.30;34.87308
France;1985;7.47;33.28846
Ireland;1985;6.22;37.90385
Italy;1985;7.56;35.80596
Luxembourg;1985;7.43;34.00000
Norway;1985;10.47;29.65769
Spain;1985;4.64;34.05192
Sweden;1985;9.58;29.57885
Switzerland;1985;9.55;33.35961
United Kingdom;1985;6.22;33.95385
Belgium;1986;11.25;34.21154
Finland;1986;10.77;34.47500
France;1986;10.21;33.07692
Ireland;1986;8.39;38.53846
Italy;1986;10.37;35.96846
Luxembourg;1986;10.32;33.82692
Norway;1986;13.36;29.58077
Portugal;1986;2.00;37.36538
Spain;1986;6.21;33.91346
Sweden;1986;12.31;29.54038
Switzerland;1986;13.62;33.19615
United Kingdom;1986;7.59;34.00577
Belgium;1987;13.96;33.90385
